( 0 , Uceg , 18:02 , 19:9 , 1252224672 , 1252224585 )
( 1 , Houz , 15:01 , 16:54 , 1337026233 , 1252224585 )
( 2 , Cibo , 9:40 , 11:10 , 1054703897 , 1252224585 )
( 3 , Zigo , 13:21 , 14:56 , 1251283154 , 1252224585 )
( 4 , Ocoul , 6:18 , 7:23 , 1337026598 , 1252224585 )
( 5 , Boudi , 9:27 , 11:5 , 1252224726 , 1252224585 )
( 6 , Mak , 10:44 , 12:39 , 1052047677 , 1252224585 )
( 7 , Reli , 16:57 , 18:30 , 1249745554 , 1252224585 )
( 8 , Ucake , 12:14 , 13:54 , 1338672345 , 1252224585 )
( 9 , Echoj , 12:40 , 13:54 , 1051964397 , 1252224585 )
( 10 , Leele , 15:01 , 16:24 , 1249745240 , 1252224585 )
( 11 , Stestou , 12:35 , 13:52 , 402328720 , 1252224585 )
( 12 , Cij , 15:22 , 16:47 , 1051964482 , 1252224585 )
( 13 , Ounoca , 10:22 , 11:42 , 899126476 , 1252224585 )
( 14 , Stoge , 16:11 , 17:34 , 1052047742 , 1252224585 )
( 15 , Esaw , 8:23 , 10:12 , 1338672296 , 1252224585 )
( 16 , Stouch , 7:08 , 8:45 , 1109149468 , 1252224585 )
( 17 , Epouj , 17:42 , 19:15 , 1242512409 , 1252224585 )
( 18 , Nec , 18:29 , 20:10 , 1109149310 , 1252224585 )
( 19 , Ubebo , 10:28 , 11:54 , 1249745158 , 1252224585 )
( 20 , Jinu , 10:39 , 11:47 , 1338726431 , 1252224585 )
( 21 , Sib , 14:54 , 16:8 , 1338672244 , 1252224585 )
( 22 , Owaje , 14:33 , 16:19 , 1238420287 , 1252224585 )
( 23 , Ureef , 12:57 , 14:19 , 1052047661 , 1252224585 )
( 24 , Doch , 18:15 , 20:5 , 402329054 , 1252224585 )
( 25 , Bouree , 15:39 , 17:3 , 1051964373 , 1252224585 )
( 26 , Uloup , 6:25 , 7:38 , 1051964373 , 1252224585 )
( 27 , Noc , 10:08 , 11:45 , 1238411893 , 1252224585 )
( 28 , Funu , 12:14 , 13:56 , 1337026377 , 1252224585 )
( 29 , Wuc , 10:29 , 12:6 , 1207585661 , 1252224585 )
( 30 , Ulip , 6:11 , 7:22 , 1252224748 , 1252224585 )
( 31 , Ikiza , 16:53 , 18:51 , 1249745693 , 1252224585 )
( 32 , Geje , 8:07 , 9:59 , 1229047667 , 1252224585 )
( 33 , Bato , 9:20 , 10:28 , 1337026287 , 1252224585 )
( 34 , Oupese , 19:53 , 21:5 , 402328886 , 1252224585 )
( 35 , Chira , 18:03 , 19:39 , 1337026316 , 1252224585 )
( 36 , Souhi , 16:57 , 18:53 , 1241362694 , 1252224585 )
( 37 , Meeza , 16:00 , 17:28 , 1251283397 , 1252224585 )
( 38 , Koun , 20:26 , 22:4 , 402328900 , 1252224585 )
( 39 , Seezi , 14:20 , 16:12 , 1241362690 , 1252224585 )
( 40 , Ouhevu , 11:09 , 12:27 , 1109164797 , 1252224585 )
( 41 , Ebuwi , 16:32 , 18:0 , 402328953 , 1252224585 )
( 42 , Zotee , 11:49 , 13:44 , 1252224763 , 1252224585 )
( 43 , Deezou , 12:42 , 14:31 , 1207585871 , 1252224585 )
( 44 , Chulu , 9:56 , 11:44 , 402329060 , 1252224585 )
( 45 , Heest , 15:16 , 16:18 , 1249745367 , 1252224585 )
( 46 , Wuche , 14:31 , 15:48 , 1337026692 , 1252224585 )
( 47 , Ojeef , 12:41 , 14:31 , 1249763056 , 1252224585 )
( 48 , Cur , 16:45 , 18:27 , 1338672351 , 1252224585 )
( 49 , Egeeg , 9:13 , 10:29 , 1052047968 , 1252224585 )
( 50 , Nih , 16:05 , 17:13 , 1051964304 , 1252224585 )
( 51 , Ziju , 6:36 , 8:12 , 1337026272 , 1252224585 )
( 52 , Mala , 8:19 , 9:55 , 1238420226 , 1252224585 )
( 53 , Con , 18:56 , 20:27 , 1251282931 , 1252224585 )
( 54 , Ichaca , 16:29 , 18:4 , 1242512394 , 1252224585 )
( 55 , Zuta , 8:09 , 9:26 , 1337026247 , 1252224585 )
( 56 , Kiv , 12:39 , 14:5 , 1338671978 , 1252224585 )
( 57 , Leez , 14:38 , 16:1 , 402329061 , 1252224585 )
( 58 , Ogeewa , 12:41 , 14:13 , 994629135 , 1252224585 )
